prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
05,2017-11-03 02:00:00,-.239675864577E-04,.125055521494E-11,.000000000000E+00,.470000000000E+02,-.656250000000E+02,.504342436458E-08,-.536495145531E+00,-.328756868839E-05,.526409258600E-02,.681728124619E-05,.515358033562E+04,.439200000000E+06,.223517417908E-07,.203239075278E+01,.782310962677E-07,.946916898981E+00,.238093750000E+03,.620291874309E+00,-.845928093443E-08,-.490734726785E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.470000000000E+02,.432006000000E+06,.000000000000E+00
06,2017-11-03 02:00:00,.407962594181E-03,.193267624127E-11,.000000000000E+00,.600000000000E+02,.489687500000E+02,.464626496416E-08,.307027507392E+01,.267103314400E-05,.598650076427E-03,.543892383575E-05,.515377099037E+04,.439200000000E+06,-.372529029846E-08,.999939724006E+00,-.372529029846E-08,.968511240484E+00,.280375000000E+03,-.123843138066E+01,-.821319925557E-08,.434303804782E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.600000000000E+02,.432006000000E+06,.000000000000E+00
28,2017-11-03 02:00:00,.659310724586E-03,.318323145621E-11,.000000000000E+00,.100000000000E+03,-.101343750000E+03,.421017537070E-08,-.364488447413E+00,-.531598925591E-05,.199818849796E-01,.670738518238E-05,.515366169357E+04,.439200000000E+06,-.249594449997E-06,-.100696317322E+01,.353902578354E-07,.987368250137E+00,.267750000000E+03,-.155652436280E+01,-.843070831570E-08,-.447161483213E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.200000000000E+01,.000000000000E+00,-.111758708954E-07,.100000000000E+03,.432006000000E+06,.000000000000E+00
17,2017-11-03 02:00:00,-.147070270032E-03,.227373675443E-11,.000000000000E+00,.360000000000E+02,-.915625000000E+01,.377265714631E-08,-.128033740488E+01,-.413507223129E-06,.120589059079E-01,.127553939819E-04,.515371400070E+04,.439200000000E+06,.726431608200E-07,.461229982366E-02,.296160578728E-06,.981663839542E+00,.148000000000E+03,-.183615133162E+01,-.766853371092E-08,.131791203918E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.360000000000E+02,.432006000000E+06,.000000000000E+00
24,2017-11-03 02:00:00,-.417367555201E-04,-.454747350886E-12,.000000000000E+00,.380000000000E+02,.965937500000E+02,.528879172798E-08,.311131388031E+01,.498630106449E-05,.617805903312E-02,.324472784996E-05,.515366877365E+04,.439200000000E+06,-.149011611938E-07,-.217505341644E+01,-.894069671631E-07,.943696855368E+00,.309937500000E+03,.473255537633E+00,-.860500128999E-08,.423946230491E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.100000000000E+01,.000000000000E+00,.279396772385E-08,.380000000000E+02,.432006000000E+06,.000000000000E+00
02,2017-11-03 02:00:00,.290626194328E-03,-.954969436862E-11,.000000000000E+00,.310000000000E+02,.583125000000E+02,.499949396328E-08,-.304952830180E+01,.306218862534E-05,.172129329294E-01,.509992241859E-05,.515360830688E+04,.439200000000E+06,.195577740669E-06,.951503555314E+00,-.139698386192E-06,.947794771251E+00,.270937500000E+03,-.194260856636E+01,-.814533928608E-08,.504663878419E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.310000000000E+02,.432006000000E+06,.000000000000E+00
19,2017-11-03 02:00:00,-.477770343423E-03,.216004991671E-11,.000000000000E+00,.109000000000E+03,-.135000000000E+02,.377587156592E-08,.170052880030E+01,-.907108187675E-06,.987316446844E-02,.131540000439E-04,.515369116592E+04,.439200000000E+06,-.145286321640E-06,.520283377034E-01,-.189989805222E-06,.979024850898E+00,.142125000000E+03,.108839590977E+01,-.764138972313E-08,.172150027883E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.109000000000E+03,.432006000000E+06,.000000000000E+00
12,2017-11-03 02:00:00,.366476830095E-03,-.159161572810E-11,.000000000000E+00,.430000000000E+02,-.104750000000E+03,.411731435981E-08,.157081385255E+01,-.555627048016E-05,.656086229719E-02,.667385756969E-05,.515369522667E+04,.439200000000E+06,-.208616256714E-06,-.103027214542E+01,.614672899246E-07,.988069024469E+00,.265656250000E+03,.909099524513E+00,-.804962101331E-08,-.543951229181E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.125728547573E-07,.430000000000E+02,.432006000000E+06,.000000000000E+00
13,2017-11-03 02:00:00,-.935108400881E-04,-.454747350886E-12,.000000000000E+00,.320000000000E+02,.844687500000E+02,.407409827397E-08,-.281304015828E+01,.423379242420E-05,.358013971709E-02,.124145299196E-04,.515366564941E+04,.439200000000E+06,.186264514923E-07,-.306836393530E+01,-.745058059692E-08,.969575795729E+00,.143750000000E+03,.169749522315E+01,-.770424948434E-08,.173221501085E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.320000000000E+02,.432006000000E+06,.000000000000E+00
30,2017-11-03 02:00:00,.130605883896E-03,-.250111042988E-11,.000000000000E+00,.320000000000E+02,.781875000000E+02,.536093759028E-08,.218207336489E+01,.409968197346E-05,.303217535838E-02,.256299972534E-05,.515360975266E+04,.439200000000E+06,-.577419996262E-07,-.208222390729E+01,.143423676491E-06,.946252211911E+00,.323656250000E+03,-.305421205786E+01,-.876107921983E-08,.358943522867E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.372529029846E-08,.320000000000E+02,.432036000000E+06,.000000000000E+00
