prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
02,2017-11-08 02:00:00,.286485534161E-03,-.966338120634E-11,.000000000000E+00,.800000000000E+01,-.773125000000E+02,.428446417942E-08,-.286932571925E+01,-.393018126488E-05,.172285411973E-01,.120140612125E-04,.515362599564E+04,.266400000000E+06,.154599547386E-06,.827565886115E+00,-.115483999252E-06,.948045374970E+00,.134812500000E+03,-.194149165766E+01,-.760495963424E-08,.362157942475E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.800000000000E+01,.259206000000E+06,.000000000000E+00
05,2017-11-08 02:00:00,-.234409235418E-04,.125055521494E-11,.000000000000E+00,.960000000000E+02,.129062500000E+02,.514521431883E-08,-.353667445726E+00,.825151801109E-06,.528061145451E-02,.679679214954E-05,.515357671547E+04,.266400000000E+06,.540167093277E-07,.190831342903E+01,.726431608200E-07,.946848071611E+00,.239531250000E+03,.620428291420E+00,-.838070623291E-08,.412517182996E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.960000000000E+02,.259206000000E+06,.000000000000E+00
19,2017-11-08 02:00:00,-.476849731058E-03,.216004991671E-11,.000000000000E+00,.130000000000E+02,-.119031250000E+03,.411338562474E-08,.187782263503E+01,-.650063157082E-05,.985701871105E-02,.614114105701E-05,.515368616104E+04,.266400000000E+06,-.119209289551E-06,-.717243747624E-01,-.214204192162E-06,.979013375768E+00,.275187500000E+03,.108919067074E+01,-.798140388608E-08,-.316441752498E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.130000000000E+02,.259206000000E+06,.000000000000E+00
12,2017-11-08 02:00:00,.365777406842E-03,-.159161572810E-11,.000000000000E+00,.200000000000E+02,.682500000000E+02,.418446001384E-08,.174719255889E+01,.337138772011E-05,.656031444669E-02,.246427953243E-05,.515369469833E+04,.266400000000E+06,-.176951289177E-06,-.115425468816E+01,-.819563865662E-07,.987991251356E+00,.346031250000E+03,.910880704809E+00,-.822927135361E-08,.127862468842E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.125728547573E-07,.200000000000E+02,.259206000000E+06,.000000000000E+00
17,2017-11-08 02:00:00,-.146026723087E-03,.250111042988E-11,.000000000000E+00,.100000000000E+02,-.106312500000E+03,.420767526656E-08,-.110552757140E+01,-.541657209396E-05,.121044027619E-01,.569783151150E-05,.515370898438E+04,.266400000000E+06,-.707805156708E-07,-.119138466961E+00,.260770320892E-06,.981633463511E+00,.281250000000E+03,-.183378520499E+01,-.815283959849E-08,-.305727020472E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.100000000000E+02,.259206000000E+06,.000000000000E+00
13,2017-11-08 02:00:00,-.936868600547E-04,-.454747350886E-12,.000000000000E+00,.100000000000E+02,.375000000000E+01,.444982821035E-08,-.262800537737E+01,.931322574615E-07,.358928553760E-02,.906176865101E-05,.515365448380E+04,.266400000000E+06,.502914190292E-07,.309106445938E+01,.428408384323E-07,.969419026502E+00,.207250000000E+03,.169159179133E+01,-.779568186430E-08,-.437161066656E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.100000000000E+02,.259206000000E+06,.000000000000E+00
28,2017-11-08 02:00:00,.660692807287E-03,.318323145621E-11,.000000000000E+00,.180000000000E+02,.482500000000E+02,.429125017637E-08,-.186636249029E+00,.261329114437E-05,.199959061574E-01,.285170972347E-05,.515366112328E+04,.266400000000E+06,-.244006514549E-06,-.113094872666E+01,.707805156708E-07,.987283381870E+00,.341875000000E+03,-.155503245846E+01,-.855321341853E-08,.842892252703E-10,.100000000000E+01,.197400000000E+04,.000000000000E+00,.100000000000E+01,.000000000000E+00,-.111758708954E-07,.180000000000E+02,.259206000000E+06,.000000000000E+00
24,2017-11-08 02:00:00,-.419565476477E-04,-.454747350886E-12,.000000000000E+00,.140000000000E+02,.110218750000E+03,.463090718159E-08,-.299480337159E+01,.557489693165E-05,.621820765082E-02,.110827386379E-04,.515367874527E+04,.266400000000E+06,-.763684511185E-07,-.229907986574E+01,-.121071934700E-06,.943806793661E+00,.158093750000E+03,.475288238897E+00,-.796354599937E-08,-.141434462742E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.140000000000E+02,.259206000000E+06,.000000000000E+00
06,2017-11-08 02:00:00,.408769585192E-03,.181898940355E-11,.000000000000E+00,.140000000000E+02,-.589687500000E+02,.406445501515E-08,-.304005262738E+01,-.300817191601E-05,.607407884672E-03,.112392008305E-04,.515378262329E+04,.266400000000E+06,-.242143869400E-07,.876100264887E+00,-.102445483208E-06,.968763675776E+00,.169218750000E+03,-.123611763674E+01,-.767639118108E-08,.275725770799E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.140000000000E+02,.259206000000E+06,.000000000000E+00
20,2017-11-08 02:00:00,.492108985782E-03,.113686837722E-11,.000000000000E+00,.900000000000E+01,.178125000000E+02,.548951437459E-08,-.212702699354E+01,.111386179924E-05,.464724528138E-02,.694207847118E-05,.515374580765E+04,.266400000000E+06,.670552253723E-07,.182459358391E+01,.800937414169E-07,.927104281980E+00,.222062500000E+03,.170671525556E+01,-.841963642594E-08,.500020827875E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.900000000000E+01,.261126000000E+06,.000000000000E+00
