prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
06,17 11 17 02 00 00.0,.410094391555E-03,.159161572810E-11,.000000000000E+00,.760000000000E+02,.397187500000E+02,.447661504041E-08,-.268106074501E+01,.207312405109E-05,.637356890365E-03,.764802098274E-05,.515377986717E+04,.439200000000E+06,.707805156708E-07,.749377367901E+00,-.558793544769E-07,.968880404935E+00,.238968750000E+03,-.128002505578E+01,-.795068832094E-08,.515735768179E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.760000000000E+02,.432006000000E+06,.000000000000E+00
12,17 11 17 02 00 00.0,.364497303963E-03,-.170530256582E-11,.000000000000E+00,.240000000000E+02,-.751250000000E+02,.416767360033E-08,.206817546548E+01,-.406987965107E-05,.659268698655E-02,.300258398056E-05,.515368842506E+04,.439200000000E+06,-.894069671631E-07,-.128079658268E+01,-.968575477600E-07,.987869011384E+00,.335906250000E+03,.910315904323E+00,-.808212236712E-08,-.337871216549E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.125728547573E-07,.240000000000E+02,.432006000000E+06,.000000000000E+00
28,17 11 17 02 00 00.0,.663176178932E-03,.318323145621E-11,.000000000000E+00,.840000000000E+02,-.755000000000E+02,.434053794369E-08,.133136645836E+00,-.391714274883E-05,.199983388884E-01,.416114926338E-05,.515366039276E+04,.439200000000E+06,-.257045030594E-06,-.125749681078E+01,-.279396772385E-07,.987162492172E+00,.317468750000E+03,-.155252920521E+01,-.853142679674E-08,-.408588447920E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.200000000000E+01,.000000000000E+00,-.111758708954E-07,.840000000000E+02,.432006000000E+06,.000000000000E+00
20,17 11 17 02 00 00.0,.492976047099E-03,.113686837722E-11,.000000000000E+00,.610000000000E+02,-.242187500000E+02,.563130599507E-08,-.181772338121E+01,-.101141631603E-05,.465512135997E-02,.424869358540E-05,.515374777222E+04,.439200000000E+06,.223517417908E-07,.169760258085E+01,.894069671631E-07,.927051508674E+00,.276437500000E+03,.171501459171E+01,-.865500337277E-08,-.176793078427E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.610000000000E+02,.432006000000E+06,.000000000000E+00
24,17 11 17 02 00 00.0,-.423169694841E-04,-.454747350886E-12,.000000000000E+00,.580000000000E+02,.117187500000E+03,.500342269835E-08,-.267223448040E+01,.592321157455E-05,.629356410354E-02,.599958002567E-05,.515367111778E+04,.439200000000E+06,-.521540641785E-07,-.242604690620E+01,-.176951289177E-06,.943759178604E+00,.256187500000E+03,.475709587099E+00,-.836463413487E-08,.430017911972E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.580000000000E+02,.432006000000E+06,.000000000000E+00
13,17 11 17 02 00 00.0,-.940226018429E-04,-.341060513165E-12,.000000000000E+00,.580000000000E+02,.475625000000E+02,.401873882517E-08,-.229210470892E+01,.244192779064E-05,.360716495197E-02,.126007944345E-04,.515366682816E+04,.439200000000E+06,.540167093277E-07,.296448925568E+01,.745058059692E-08,.969440123244E+00,.138437500000E+03,.167865837250E+01,-.764317551180E-08,-.128933942045E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.580000000000E+02,.432006000000E+06,.000000000000E+00
05,17 11 17 02 00 00.0,-.225105322897E-04,.113686837722E-11,.000000000000E+00,.330000000000E+02,-.345312500000E+02,.518343019639E-08,-.307407350121E-01,-.169128179550E-05,.528892921284E-02,.508129596710E-05,.515358275414E+04,.439200000000E+06,.763684511185E-07,.178151254973E+01,.763684511185E-07,.946786144826E+00,.272531250000E+03,.625693428677E+00,-.848428197583E-08,-.281083136812E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.330000000000E+02,.432006000000E+06,.000000000000E+00
02,17 11 17 02 00 00.0,.278974883258E-03,-.966338120634E-11,.000000000000E+00,.600000000000E+02,.390312500000E+02,.477127017113E-08,-.254592505380E+01,.206381082535E-05,.172870681854E-01,.780262053013E-05,.515361923409E+04,.439200000000E+06,.217929482460E-06,.700650072659E+00,-.894069671631E-07,.948173018961E+00,.220656250000E+03,-.193869593051E+01,-.784425531615E-08,.667527805212E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.600000000000E+02,.432006000000E+06,.000000000000E+00
19,17 11 17 02 00 00.0,-.475199893117E-03,.216004991671E-11,.000000000000E+00,.660000000000E+02,-.709687500000E+02,.379087219076E-08,.219496939591E+01,-.391714274883E-05,.982447376009E-02,.125616788864E-04,.515369148827E+04,.439200000000E+06,.186264514923E-07,-.198307181250E+00,-.182539224625E-06,.979146959207E+00,.146187500000E+03,.109297705090E+01,-.750459831093E-08,-.117862052285E-10,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.660000000000E+02,.432006000000E+06,.000000000000E+00
17,17 11 17 02 00 00.0,-.144077930599E-03,.261479726760E-11,.000000000000E+00,.200000000000E+02,-.607500000000E+02,.386123226439E-08,-.788256967187E+00,-.314228236675E-05,.121454575565E-01,.121537595987E-04,.515371985435E+04,.439200000000E+06,-.109896063805E-06,-.245698681605E+00,.165775418282E-06,.981755838071E+00,.159375000000E+03,-.183195779649E+01,-.783711216146E-08,-.214294640518E-10,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.200000000000E+02,.432006000000E+06,.000000000000E+00
