prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
24,17 11 30 02 00 00.0,-.428515486419E-04,-.568434188608E-12,.000000000000E+00,.870000000000E+02,.848750000000E+02,.518521598506E-08,-.221343845140E+01,.424124300480E-05,.636732904240E-02,.461563467979E-05,.515366605568E+04,.352800000000E+06,.856816768646E-07,-.267615734643E+01,-.949949026108E-07,.943720437607E+00,.282437500000E+03,.483101579028E+00,-.851892627604E-08,.340371320689E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.870000000000E+02,.345606000000E+06,.000000000000E+00
06,17 11 30 02 00 00.0,.411720946431E-03,.125055521494E-11,.000000000000E+00,.470000000000E+02,.293437500000E+02,.459590572364E-08,-.222283667309E+01,.149942934513E-05,.683967140503E-03,.604055821896E-05,.515378846169E+04,.352800000000E+06,.316649675369E-07,.499639284210E+00,.204890966415E-07,.969162515520E+00,.269437500000E+03,-.128415308291E+01,-.814605360154E-08,.370372570361E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.470000000000E+02,.345606000000E+06,.000000000000E+00
25,17 11 30 02 00 00.0,-.497809611261E-03,-.625277607469E-11,.000000000000E+00,.750000000000E+02,-.619687500000E+02,.436768193148E-08,.209968126715E+01,-.331364572048E-05,.673925899900E-02,.552833080292E-05,.515372074318E+04,.352800000000E+06,-.165775418282E-06,-.158818218653E+01,-.838190317154E-07,.975575682129E+00,.280250000000E+03,.804895524478E+00,-.810462330438E-08,-.335013954676E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.558793544769E-08,.750000000000E+02,.345606000000E+06,.000000000000E+00
17,17 11 30 02 00 00.0,-.141291879117E-03,.238742359215E-11,.000000000000E+00,.300000000000E+01,-.273125000000E+02,.397730852801E-08,-.333497837215E+00,-.135228037834E-05,.121964307036E-01,.113565474749E-04,.515372266388E+04,.352800000000E+06,-.763684511185E-07,-.495371857083E+00,.108033418655E-06,.981755292403E+00,.176187500000E+03,-.182639440242E+01,-.793711632704E-08,.123933733766E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.300000000000E+01,.345606000000E+06,.000000000000E+00
12,17 11 30 02 00 00.0,.362598337233E-03,-.170530256582E-11,.000000000000E+00,.117000000000E+03,-.655312500000E+02,.398588031363E-08,.253442148234E+01,-.357627868652E-05,.661653291900E-02,.573694705963E-05,.515368580627E+04,.352800000000E+06,-.782310962677E-07,-.153058438950E+01,-.875443220139E-07,.987800599483E+00,.281156250000E+03,.907634698788E+00,-.787425656582E-08,-.390016245742E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.100000000000E+01,.000000000000E+00,-.125728547573E-07,.117000000000E+03,.345606000000E+06,.000000000000E+00
05,17 11 30 02 00 00.0,-.212118029594E-04,.113686837722E-11,.000000000000E+00,.700000000000E+02,-.570000000000E+02,.500342269835E-08,.437352109128E+00,-.285357236862E-05,.528021191712E-02,.682100653648E-05,.515359608269E+04,.352800000000E+06,-.428408384323E-07,.153142198763E+01,.949949026108E-07,.946827636109E+00,.239593750000E+03,.631478254415E+00,-.839749264642E-08,-.322513433979E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.700000000000E+02,.345606000000E+06,.000000000000E+00
02,17 11 30 02 00 00.0,.267997384071E-03,-.989075488178E-11,.000000000000E+00,.300000000000E+01,.297500000000E+02,.491163316066E-08,-.208093502673E+01,.159442424774E-05,.173544334248E-01,.566057860851E-05,.515362837219E+04,.352800000000E+06,.268220901489E-06,.450643372340E+00,-.391155481339E-07,.948453319916E+00,.262375000000E+03,-.193358411146E+01,-.807783647431E-08,.487163149443E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.300000000000E+01,.345606000000E+06,.000000000000E+00
19,17 11 30 02 00 00.0,-.472764950246E-03,.216004991671E-11,.000000000000E+00,.490000000000E+02,-.292500000000E+02,.389980529969E-08,.265396640646E+01,-.157766044140E-05,.980475102551E-02,.113174319267E-04,.515369126320E+04,.352800000000E+06,.596046447754E-07,-.447999992015E+00,-.156462192535E-06,.979163348278E+00,.168406250000E+03,.109729750150E+01,-.754995734317E-08,.932181686252E-10,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.490000000000E+02,.345606000000E+06,.000000000000E+00
20,17 11 30 02 00 00.0,.494201201946E-03,.102318153949E-11,.000000000000E+00,.500000000000E+01,-.508125000000E+02,.545737017852E-08,-.137393908608E+01,-.245310366154E-05,.465202017222E-02,.628829002380E-05,.515375717545E+04,.352800000000E+06,-.987201929092E-07,.144725067722E+01,.819563865662E-07,.927131985260E+00,.240000000000E+03,.173003931629E+01,-.862857370044E-08,-.242152943785E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.500000000000E+01,.345606000000E+06,.000000000000E+00
13,17 11 30 02 00 00.0,-.944007188082E-04,-.341060513165E-12,.000000000000E+00,.142000000000E+03,.533125000000E+02,.409659921123E-08,-.181830184096E+01,.285543501377E-05,.363898393698E-02,.114031136036E-04,.515366670418E+04,.352800000000E+06,.186264514923E-07,.271483797569E+01,.447034835815E-07,.969227331569E+00,.164500000000E+03,.167133018721E+01,-.777389524251E-08,.707172313708E-10,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.142000000000E+03,.345606000000E+06,.000000000000E+00
