prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
17,17 11 21 02 00 00.0,-.143198296428E-03,.250111042988E-11,.000000000000E+00,.440000000000E+02,-.115656250000E+03,.413695803519E-08,-.647827465529E+00,-.594928860664E-05,.121649450157E-01,.643916428089E-05,.515371750641E+04,.180000000000E+06,-.838190317154E-07,-.368771987119E+00,.149011611938E-06,.981709949257E+00,.269343750000E+03,-.183080765468E+01,-.815391107170E-08,-.296798077117E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.440000000000E+02,.172806000000E+06,.000000000000E+00
24,17 11 21 02 00 00.0,-.424636527896E-04,-.454747350886E-12,.000000000000E+00,.750000000000E+02,.952187500000E+02,.468090926437E-08,-.252990111521E+01,.479072332382E-05,.631901028100E-02,.987388193607E-05,.515367326927E+04,.180000000000E+06,-.111758708954E-07,-.254930324179E+01,-.113621354103E-06,.943833396827E+00,.181187500000E+03,.476651789729E+00,-.798461830569E-08,.839320675361E-10,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.750000000000E+02,.172806000000E+06,.000000000000E+00
12,17 11 21 01 59 44.0,.363917089999E-03,-.170530256582E-11,.000000000000E+00,.590000000000E+02,.356562500000E+02,.414767276722E-08,.220978012338E+01,.165775418282E-05,.660350045655E-02,.185519456863E-05,.515368597984E+04,.179984000000E+06,-.106170773506E-06,-.140404005190E+01,-.108033418655E-06,.987834802507E+00,.356093750000E+03,.909100157956E+00,-.803712049261E-08,.664313385605E-10,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.125728547573E-07,.590000000000E+02,.172806000000E+06,.000000000000E+00
06,17 11 21 02 00 00.0,.410627573729E-03,.147792889038E-11,.000000000000E+00,.750000000000E+02,-.424687500000E+02,.405516891406E-08,-.252982152662E+01,-.217184424400E-05,.653882510960E-03,.107996165752E-04,.515379204559E+04,.180000000000E+06,.633299350739E-07,.626265991407E+00,-.130385160446E-07,.969065300225E+00,.178156250000E+03,-.129145451143E+01,-.764424698500E-08,.363943731146E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.750000000000E+02,.172806000000E+06,.000000000000E+00
20,17 11 21 02 00 00.0,.493355095387E-03,.113686837722E-11,.000000000000E+00,.450000000000E+02,.219687500000E+02,.548522848178E-08,-.168269731670E+01,.140257179737E-05,.465441821143E-02,.553950667381E-05,.515375052452E+04,.180000000000E+06,-.204890966415E-07,.157419916787E+01,.670552253723E-07,.927057617819E+00,.252718750000E+03,.172144740823E+01,-.846678124685E-08,.365015204348E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.450000000000E+02,.172806000000E+06,.000000000000E+00
05,17 11 21 02 00 00.0,-.221082009375E-04,.113686837722E-11,.000000000000E+00,.102000000000E+03,.115000000000E+02,.511307012275E-08,.112910583316E+00,.711530447006E-06,.527968502138E-02,.550784170628E-05,.515358478928E+04,.180000000000E+06,.428408384323E-07,.165819276446E+01,.726431608200E-07,.946763029258E+00,.264437500000E+03,.628164825426E+00,-.832534678411E-08,.269296931584E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.102000000000E+03,.172806000000E+06,.000000000000E+00
19,17 11 21 02 00 00.0,-.474462751299E-03,.216004991671E-11,.000000000000E+00,.115000000000E+03,-.129062500000E+03,.399409494151E-08,.233515172147E+01,-.692717730999E-05,.982376525644E-02,.640563666821E-05,.515369110870E+04,.180000000000E+06,.577419996262E-07,-.321381036822E+00,-.150874257088E-06,.979113187743E+00,.265656250000E+03,.109523903386E+01,-.777853829306E-08,-.344300055765E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.115000000000E+03,.172806000000E+06,.000000000000E+00
02,17 11 21 02 00 00.0,.275611411780E-03,-.977706804406E-11,.000000000000E+00,.410000000000E+02,-.466875000000E+02,.437768234804E-08,-.240217060853E+01,-.234507024288E-05,.173127426533E-01,.105164945126E-04,.515362902641E+04,.180000000000E+06,.208616256714E-06,.577461350223E+00,-.745058059692E-07,.948353973150E+00,.167781250000E+03,-.193772760017E+01,-.753638534927E-08,.467519474063E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.410000000000E+02,.172806000000E+06,.000000000000E+00
13,17 11 21 02 00 00.0,-.941432081163E-04,-.341060513165E-12,.000000000000E+00,.650000000000E+02,-.331250000000E+01,.431839416416E-08,-.214506177155E+01,-.145286321640E-06,.361758435611E-02,.923685729504E-05,.515365755272E+04,.180000000000E+06,.502914190292E-07,.284141209098E+01,.111758708954E-07,.969297076188E+00,.204468750000E+03,.167494342078E+01,-.774746557018E-08,-.479662837025E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.650000000000E+02,.172806000000E+06,.000000000000E+00
28,17 11 21 02 00 00.0,.664288178086E-03,.318323145621E-11,.000000000000E+00,.940000000000E+02,.265000000000E+02,.436196740774E-08,.274429547115E+00,.141374766827E-05,.200084340759E-01,.201538205147E-05,.515366086006E+04,.180000000000E+06,-.257045030594E-06,-.138074169611E+01,-.108033418655E-06,.987122573526E+00,.358656250000E+03,-.155038738928E+01,-.859250076929E-08,-.125005206969E-10,.100000000000E+01,.197600000000E+04,.000000000000E+00,.200000000000E+01,.000000000000E+00,-.111758708954E-07,.940000000000E+02,.172866000000E+06,.000000000000E+00
