prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
06,17 11 14 02 00 00.0,.409668777138E-03,.170530256582E-11,.000000000000E+00,.900000000000E+01,.906250000000E+00,.466376569313E-08,-.280913387296E+01,.931322574615E-07,.625698943622E-03,.459142029285E-05,.515377717018E+04,.180000000000E+06,.931322574615E-08,.751493458422E+00,-.596046447754E-07,.968780140919E+00,.297906250000E+03,-.125706098554E+01,-.823570019283E-08,.130719730716E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.900000000000E+01,.172806000000E+06,.000000000000E+00
12,17 11 14 02 00 00.0,.364927574992E-03,-.170530256582E-11,.000000000000E+00,.850000000000E+02,-.640312500000E+02,.389730519555E-08,.196094310360E+01,-.344030559063E-05,.658607296646E-02,.864081084728E-05,.515369415283E+04,.180000000000E+06,-.139698386192E-06,-.127873146023E+01,-.126659870148E-06,.987965202636E+00,.226593750000E+03,.910627421024E+00,-.780532512312E-08,-.426446334630E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.125728547573E-07,.850000000000E+02,.172806000000E+06,.000000000000E+00
24,17 11 14 02 00 00.0,-.421982258558E-04,-.454747350886E-12,.000000000000E+00,.160000000000E+02,.499062500000E+02,.530200656414E-08,-.277918520714E+01,.246986746788E-05,.626451603603E-02,.417418777943E-05,.515366468811E+04,.180000000000E+06,-.763684511185E-07,-.242382738006E+01,-.119209289551E-06,.943690386344E+00,.291812500000E+03,.474974596576E+00,-.853999858236E-08,.183579075377E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.160000000000E+02,.172806000000E+06,.000000000000E+00
19,17 11 14 02 00 00.0,-.475750770420E-03,.216004991671E-11,.000000000000E+00,.490000000000E+02,.292187500000E+02,.399980946526E-08,.208889910008E+01,.119395554066E-05,.982645642944E-02,.100992619991E-04,.515368767548E+04,.180000000000E+06,.242143869400E-07,-.196321650316E+00,-.191852450371E-06,.979083936696E+00,.195250000000E+03,.109218879553E+01,-.774067957323E-08,.256796410887E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.490000000000E+02,.172806000000E+06,.000000000000E+00
02,17 11 14 02 00 00.0,.281484797597E-03,-.966338120634E-11,.000000000000E+00,.200000000000E+01,.637500000000E+01,.502306637373E-08,-.265426555126E+01,.411644577980E-06,.172687974991E-01,.408664345741E-05,.515361552620E+04,.180000000000E+06,.173225998878E-06,.702826678249E+00,-.838190317154E-07,.948066196683E+00,.292687500000E+03,-.193915443537E+01,-.817748348215E-08,.301798285396E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.200000000000E+01,.172806000000E+06,.000000000000E+00
17,17 11 14 02 00 00.0,-.144739169627E-03,.250111042988E-11,.000000000000E+00,.400000000000E+01,.360312500000E+02,.402016745611E-08,-.893863317566E+00,.192038714886E-05,.121341025224E-01,.100154429674E-04,.515371620750E+04,.180000000000E+06,-.633299350739E-07,-.243721256700E+00,.221654772758E-06,.981703614822E+00,.201687500000E+03,-.183257164130E+01,-.799604735318E-08,.253939149013E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.400000000000E+01,.172806000000E+06,.000000000000E+00
05,17 11 14 02 00 00.0,-.228178687394E-04,.113686837722E-11,.000000000000E+00,.103000000000E+03,-.689375000000E+02,.485341644999E-08,-.137600778390E+00,-.346451997757E-05,.528763083275E-02,.884383916855E-05,.515358963013E+04,.180000000000E+06,.856816768646E-07,.178367700725E+01,.465661287308E-07,.946892463860E+00,.199687500000E+03,.623103264923E+00,-.832070373357E-08,-.324656380384E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.103000000000E+03,.172806000000E+06,.000000000000E+00
28,17 11 14 02 00 00.0,.662359409034E-03,.329691829393E-11,.000000000000E+00,.520000000000E+02,-.498125000000E+02,.407945563999E-08,.265448416535E-01,-.259093940258E-05,.199839289999E-01,.879913568497E-05,.515366367912E+04,.180000000000E+06,-.238418579102E-06,-.125543267287E+01,-.204890966415E-07,.987259428049E+00,.229281250000E+03,-.155343369527E+01,-.822748556494E-08,-.415374444870E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.100000000000E+01,.000000000000E+00,-.111758708954E-07,.520000000000E+02,.172806000000E+06,.000000000000E+00
13,17 11 14 02 00 00.0,-.939262099564E-04,-.341060513165E-12,.000000000000E+00,.159000000000E+03,.707187500000E+02,.425553440295E-08,-.240199713570E+01,.361725687981E-05,.360506365541E-02,.104289501905E-04,.515366204834E+04,.180000000000E+06,.856816768646E-07,.296650265813E+01,.111758708954E-07,.969423764894E+00,.180375000000E+03,.168111237955E+01,-.783139763772E-08,.340014162955E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.159000000000E+03,.172806000000E+06,.000000000000E+00
20,17 11 14 02 00 00.0,.492688734084E-03,.113686837722E-11,.000000000000E+00,.500000000000E+01,-.710937500000E+02,.529986361774E-08,-.192002791671E+01,-.344403088093E-05,.464673817623E-02,.760331749916E-05,.515375559044E+04,.180000000000E+06,.558793544769E-07,.169983817569E+01,.614672899246E-07,.927146260415E+00,.210593750000E+03,.171135691762E+01,-.848213902942E-08,-.309655755548E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.500000000000E+01,.173046000000E+06,.000000000000E+00
25,17 11 14 02 00 00.0,-.489156227559E-03,-.625277607469E-11,.000000000000E+00,.670000000000E+02,-.685000000000E+02,.426803492364E-08,.152743112809E+01,-.352971255779E-05,.668366556056E-02,.781379640102E-05,.515373137665E+04,.180000000000E+06,-.145286321640E-06,-.133612330619E+01,.428408384323E-07,.975730469102E+00,.236968750000E+03,.810647917322E+00,-.808569394447E-08,-.440732643998E-09,.100000000000E+01,.197500000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.558793544769E-08,.670000000000E+02,.175476000000E+06,.000000000000E+00
