prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
13,17 11 04 02 00 00.0,-.935448333621E-04,-.341060513165E-12,.000000000000E+00,.400000000000E+02,.724687500000E+02,.402481050666E-08,-.277586618249E+01,.360794365406E-05,.358605559450E-02,.130999833345E-04,.515366568565E+04,.525600000000E+06,.391155481339E-07,-.306903113566E+01,-.372529029846E-08,.969577230852E+00,.130562500000E+03,.169610321563E+01,-.763496088391E-08,-.453590322429E-10,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.400000000000E+02,.518406000000E+06,.000000000000E+00
24,17 11 04 02 00 00.0,-.417781993747E-04,-.454747350886E-12,.000000000000E+00,.710000000000E+02,.135968750000E+03,.512021327744E-08,-.313606952488E+01,.699795782566E-05,.618146720808E-02,.455416738987E-05,.515367259026E+04,.525600000000E+06,.558793544769E-08,-.217580283280E+01,-.726431608200E-07,.943733461967E+00,.285000000000E+03,.473334108037E+00,-.850571143988E-08,.512521348571E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.710000000000E+02,.518406000000E+06,.000000000000E+00
19,17 11 04 02 00 00.0,-.477586872876E-03,.216004991671E-11,.000000000000E+00,.370000000000E+02,-.574687500000E+02,.372586948313E-08,.173609915308E+01,-.321678817272E-05,.986865034793E-02,.135619193316E-04,.515369191742E+04,.525600000000E+06,-.115483999252E-06,.513729196826E-01,-.191852450371E-06,.979047492481E+00,.134312500000E+03,.108843524325E+01,-.759174479807E-08,.371444043564E-10,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.370000000000E+02,.518406000000E+06,.000000000000E+00
05,17 11 04 02 00 00.0,-.238604843616E-04,.125055521494E-11,.000000000000E+00,.770000000000E+02,-.516250000000E+02,.520628829138E-08,-.499583653824E+00,-.254437327385E-05,.526433740743E-02,.551156699657E-05,.515357677460E+04,.525600000000E+06,.186264514923E-07,.203165818923E+01,.633299350739E-07,.946869076189E+00,.263125000000E+03,.619944713609E+00,-.854142721330E-08,-.433589489314E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.770000000000E+02,.518406000000E+06,.000000000000E+00
17,17 11 04 02 00 00.0,-.146869104356E-03,.238742359215E-11,.000000000000E+00,.800000000000E+02,-.527500000000E+02,.375229915546E-08,-.124516102179E+01,-.271014869213E-05,.120690822368E-01,.129230320454E-04,.515371496010E+04,.525600000000E+06,.428408384323E-07,.395943166908E-02,.312924385071E-06,.981681587664E+00,.144468750000E+03,-.183590028903E+01,-.766960518413E-08,-.892894335490E-11,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.800000000000E+02,.518406000000E+06,.000000000000E+00
30,17 11 04 02 00 00.0,.130385626107E-03,-.250111042988E-11,.000000000000E+00,.770000000000E+02,.109562500000E+03,.521021702645E-08,.221820686067E+01,.574439764023E-05,.303425220773E-02,.366568565369E-05,.515361285210E+04,.525600000000E+06,-.819563865662E-07,-.208297586181E+01,.134110450745E-06,.946285001757E+00,.302343750000E+03,-.305401536267E+01,-.866536094707E-08,.437518224390E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.372529029846E-08,.770000000000E+02,.518406000000E+06,.000000000000E+00
28,17 11 04 02 00 00.0,.659596174955E-03,.329691829393E-11,.000000000000E+00,.940000000000E+02,-.957500000000E+02,.431160816722E-08,-.328844114866E+00,-.502541661263E-05,.199869940989E-01,.452995300293E-05,.515366140366E+04,.525600000000E+06,-.229105353355E-06,-.100766366375E+01,.149011611938E-07,.987326780798E+00,.308812500000E+03,-.155631186664E+01,-.857714298672E-08,-.394659296287E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.200000000000E+01,.000000000000E+00,-.111758708954E-07,.940000000000E+02,.518406000000E+06,.000000000000E+00
02,17 11 04 02 00 00.0,.289798248559E-03,-.954969436862E-11,.000000000000E+00,.730000000000E+02,.654062500000E+02,.487163149443E-08,-.301347459504E+01,.340864062309E-05,.172108017141E-01,.718794763088E-05,.515360958862E+04,.525600000000E+06,.163912773132E-06,.950773601617E+00,-.106170773506E-06,.947845126354E+00,.230500000000E+03,-.194232116294E+01,-.798676125209E-08,.664670543339E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.730000000000E+02,.518406000000E+06,.000000000000E+00
06,17 11 04 02 00 00.0,.408127438277E-03,.193267624127E-11,.000000000000E+00,.380000000000E+02,.578750000000E+02,.454197490577E-08,.310016453544E+01,.311993062496E-05,.598781509325E-03,.725686550140E-05,.515377205276E+04,.525600000000E+06,-.335276126862E-07,.999229636737E+00,-.186264514923E-07,.968559257844E+00,.245718750000E+03,-.123320847784E+01,-.806997900416E-08,.574309636587E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.380000000000E+02,.518406000000E+06,.000000000000E+00
12,17 11 04 02 00 00.0,.366337597370E-03,-.159161572810E-11,.000000000000E+00,.122000000000E+03,-.104875000000E+03,.425160566787E-08,.160595755698E+01,-.556372106075E-05,.656315044034E-02,.419095158577E-05,.515369340706E+04,.525600000000E+06,-.238418579102E-06,-.103097314358E+01,.428408384323E-07,.988028601117E+00,.313281250000E+03,.909569997504E+00,-.821748514838E-08,-.482877256633E-09,.100000000000E+01,.197300000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.125728547573E-07,.122000000000E+03,.518406000000E+06,.000000000000E+00
