,epoch_time1,epoch_time2,x_act,x_pred,y_act,y_pred,z_act,z_pred,dx,dy,dz,radial_error
0,2017-11-30 02:00:00,2017-11-30 02:00:00,21542964.674408346,11672398.449443715,14834783.971488195,18140065.929523326,-5483701.657853167,-15768727.96623274,9870566.224964632,3305281.958035132,10285026.308379572,14633343.178767625
1,2017-11-30 04:00:00,2017-11-30 04:00:00,21542853.742741056,-153054.24413380306,14834904.29272818,-16597397.50787732,-5483788.193177572,20584507.3623976,21695907.98687486,31432301.8006055,26068295.555575173,46241302.45821487
2,2017-11-30 06:00:00,2017-11-30 06:00:00,21542851.34844644,-16165890.084627539,14835180.304049563,7937871.493429085,-5482915.926752986,-19531698.867830068,37708741.43307398,6897308.810620477,14048782.941077081,40827568.52202923
3,2017-11-30 08:00:00,2017-11-30 08:00:00,21541491.11917591,23260312.476887662,14836378.783988373,12969994.355818942,-5485458.320799591,-2132157.58800114,1718821.357711751,1866384.4281694312,3353300.732798451,4205040.24927539
4,2017-11-30 22:00:00,2017-11-30 22:00:00,21541734.554092187,-24046790.579408016,14836184.904786076,-3579753.8842021096,-5485207.186387665,-10462044.988545915,45588525.1335002,18415938.788988188,4976837.8021582505,49418916.821765035
