,prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
14,20,2017-11-04 06:00:00,0.0004917320008126395,1.13686837722e-12,0.0,65.35230499130478,-39.0349905433957,5.774979659314669e-09,-0.17081623877909613,-1.529914121366966e-06,0.004641239992547805,3.0495254978006467e-06,5153.712543811622,539853.5148328631,-1.7639901428176198e-07,1.9479030007872613,-1.1647138962788195e-08,0.9271829293008212,306.9120912001541,1.7070026937851253,-8.766689372723928e-09,-4.256983629385302e-10,1.0,1973.0,0.0,0.0,0.0,-8.38190317154e-09,84.3857993080088,533902.8445109071,0.0
15,20,2017-11-04 08:00:00,0.0004917402471559763,1.13686837722e-12,0.0,70.0110039428294,-37.1298969932723,5.91958716469539e-09,0.8793125433744173,-1.7255202374544127e-06,0.004640529189769924,2.947099506232911e-06,5153.710917178157,547053.6315372254,5.658512004130538e-08,1.9478406991937183,-1.2150351054724946e-07,0.9271786650200425,313.37917714782856,1.707005323526677,-8.857332872836317e-09,-6.157651113773746e-10,1.0,1973.0,0.0,0.0,0.0,-8.38190317154e-09,90.15673177071787,541103.1435079161,0.0
16,20,2017-11-04 10:00:00,0.0004917480889354741,1.13686837722e-12,0.0,86.93754842046529,-38.659713514378254,6.000084702519172e-09,1.9294562916011335,-1.8316687377974002e-06,0.0046405639913462,2.5596614011839704e-06,5153.708546246142,554253.4105994643,1.199356640334661e-07,1.9477778541150579,-5.1296010328228425e-08,0.9271744819943922,313.5664476093529,1.7070038078384195,-8.809516826089843e-09,-6.282571941361511e-10,1.0,1973.0,0.0,0.0,0.0,-8.38190317154e-09,108.62372979521243,548351.945140966,0.0
17,28,2017-11-04 02:00:00,0.0006596077752759459,3.3610951926763565e-12,0.0,83.6044314112191,-111.92988307567215,4.384320490732767e-09,-0.33239451666212294,-5.784663317902209e-06,0.019986811692331432,4.86092642887867e-06,5153.6282134577505,525598.7663222093,-2.741683074488339e-07,-1.007663015917488,-4.0680281069499005e-08,0.987324247559054,301.6487318053587,-1.556188763096238,-8.624967938412057e-09,-4.044194738352413e-10,1.0,1973.0,0.0,1.4274651171330537,0.0,-1.11758708954e-08,76.83762472867156,518511.46358036087,0.0
18,28,2017-11-04 18:00:00,0.0006598963274831906,3.4162681040578452e-12,0.0,59.19488828314876,-138.23798052370404,4.164215529784268e-09,1.7862700147199684,-7.249637583571171e-06,0.01999505050269535,4.776738452907486e-06,5153.165848722882,583266.765101595,2.0837654612114147e-07,-1.0081323548520174,-8.15630121529432e-07,0.9873013737200292,303.8306409575241,-1.5557388580335185,-8.260112991970985e-09,-4.2713035811117883e-10,1.0,1973.0,0.0,1.075966525388662,0.0,-1.11758708954e-08,27.65819045525003,582322.8025841748,0.0
19,28,2017-11-04 20:00:00,0.0006599196335253792,3.4183636352872386e-12,0.0,58.864236840287774,-140.38255876678474,4.1391267717780796e-09,2.8365370649845123,-6.906826275534586e-06,0.01999562331684353,4.935198936264997e-06,5153.161904728303,590468.3537649377,2.2487158208432792e-07,-1.0081878350547941,-4.4846185066152873e-07,0.9872983624072531,298.4881269138345,-1.5558000272688672,-7.987331642546187e-09,-5.493336515806636e-10,1.0,1973.0,0.0,1.164943301289031,0.0,-1.11758708954e-08,25.194884261589085,584991.7371428782,0.0
20,28,2017-11-04 22:00:00,0.0006599429377077383,3.4199644208945984e-12,0.0,76.27969994941553,-130.65950897174702,4.173572929102509e-09,-2.3965682581124974,-6.406748296066574e-06,0.019995796624826014,4.966814100117439e-06,5153.159584109515,597667.9466903433,1.8172203085963645e-07,-1.0082443701182129,-3.0854650390491115e-07,0.9872945453696347,296.70528559970523,-1.5557698039964927,-7.975858633493403e-09,-4.1540703230169666e-10,1.0,1973.0,0.0,1.8597763804131902,0.0,-1.11758708954e-08,40.93584063947572,592192.2994454606,0.0
21,28,2017-11-05 00:00:00,0.0006599667727679943,3.4219874871742352e-12,0.0,75.41308461010357,-121.81036714165266,4.41166733785231e-09,-1.3463584606509627,-5.853927677653509e-06,0.01999690150995749,5.333786252946801e-06,5153.160218145679,604866.9537388827,-2.0466289950720525e-07,-1.0083004529263426,4.4368043248166215e-08,0.9872885486473376,293.26953689557257,-1.5557020077953503,-8.468255083825006e-09,-5.209277723594869e-10,1.0,1973.0,0.0,1.8823250757758885,0.0,-1.11758708954e-08,38.358489934515575,599392.2873867768,0.0
22,30,2017-11-04 02:00:00,0.00013038528932327514,-2.50111042988e-12,0.0,50.35714036304263,107.42006782108102,5.263967375840981e-09,2.220709426972679,5.64083406767739e-06,0.0030339621314933534,3.268706762131843e-06,5153.54857575689,525577.6744311407,-2.382781162354595e-08,-2.082945749357013,1.4516275058917543e-07,0.9462800369610401,310.3904215212459,-3.054547882982063,-8.662129983008471e-09,5.045243688225368e-10,1.0,1973.0,0.0,-0.026132936911605203,0.0,3.72529029846e-09,51.45534634471993,518524.2217910396,0.0
23,30,2017-11-04 18:00:00,0.0001302206708577248,-2.50111042988e-12,0.0,96.38499193476872,99.1192496500859,5.014581494782677e-09,-1.9096770124282618,5.173171933529112e-06,0.0030351742368695763,3.516462504719015e-06,5152.499997699003,583300.149566571,-1.749243424672015e-08,-2.0828024384529074,-6.872091594522804e-08,0.9461799593844319,312.1643438786369,-3.0550316479807895,-8.455711806018014e-09,5.399225902546418e-10,1.0,1973.0,0.0,-0.19292698447061435,0.0,3.72529029846e-09,99.45918987679424,585035.7351118663,0.0
