,prn,sqrt_semi_major_axis,essentricity,inclination,OMEGA,omega,mean_anomaly
0,12,2.65604681282037,0.006617026285572857,13.313391958904504,272.26280347479974,52.00226263551641,145.21230446888796
1,12,2.65603950249941,0.006619078860893289,13.313391958904504,272.3189594826594,52.000954330966096,205.25267030685754
2,12,2.6560440799356604,0.0066190843296486815,13.313391958904504,272.3733495372788,51.99818221097997,265.56016344947443
3,12,2.5975858622122483,0.0065575694363035255,13.313391958904504,280.7829133626729,51.54803728034368,332.6603471402303
4,12,2.656040906345189,0.006621155697594633,13.313391958904504,272.2539069401274,51.995698232178654,87.08947484783259
5,13,2.656028315318446,0.0036392478037888102,13.313391958904504,154.81044450495787,95.76860578050533,255.80457954965004
6,13,2.6560236240144692,0.003639317945762082,13.313391958904504,154.88126346019072,95.77924327784277,315.9687810044403
7,13,2.6560256745213495,0.0036411111229002506,13.313391958904504,155.14742339128972,95.76833646096568,16.1480463797409
8,13,2.6287472423368716,0.003624207900654784,13.313391958904504,153.70460064724554,95.43197658042845,65.26107898184034
9,13,2.6560301400936606,0.0036415483528838243,13.313391958904504,156.03313532689603,95.72688851624761,77.38577654879136
10,13,2.6560259327967466,0.0036418318171912646,13.313391958904504,156.13764537772013,95.73643403788074,137.54769039790912
11,13,2.6560250838089874,0.003642998054539071,13.313391958904504,154.85276419909312,95.72800726252059,197.72571749634366
12,29,2.656138086786556,0.0004275226618916757,13.313391958904504,329.91245183922115,54.432507964665824,54.163709747789
13,29,2.6561395570984585,0.0004276269462837495,13.313391958904504,329.9391594211354,54.404657998477575,114.16361938303105
14,29,2.656145198868045,0.0004280300267873004,13.313391958904504,329.9570468654886,54.31846607497758,174.49575684469914
15,29,2.6561400309221,0.00042724340948111715,13.313391958904504,329.96807558284365,54.30376168118537,234.76931001700427
16,25,2.6560822215791067,0.006739103313092291,13.313391958904504,269.00403315639903,46.12264771148087,120.29294724197779
17,25,2.656084447654006,0.0067399663612356065,13.313391958904504,269.00112404651856,46.122854391681905,180.4631310545013
18,25,2.6560821281610405,0.006741476735968744,13.313391958904504,268.99783514977196,46.1270620914974,240.6303812063486
19,25,2.6560799578591268,0.006741392216282414,13.313391958904504,268.99474084630896,46.12374059149241,300.79954124356505
20,25,2.6560811065822736,0.006742103264521339,13.313391958904504,268.99170670317,46.12112132596319,0.9713389314265409
21,25,2.65608020510284,0.006742444280415877,13.313391958904504,268.98951566229334,46.12077876053501,61.14241208119791
22,25,2.656079420136439,0.006744823269652198,13.313391958904504,268.9678915852662,46.12459908137153,62.152162965513256
23,15,2.6560192242120024,0.009979043106973295,13.313391958904504,144.36388340791598,36.71620976857102,294.0295502352176
