prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
12,2017-11-09 02:00:00,.365637242794E-03,-.159161572810E-11,.000000000000E+00,.630000000000E+02,.920000000000E+02,.403623955415E-08,.178306436788E+01,.458583235741E-05,.656175881159E-02,.502541661263E-05,.515369603157E+04,.352800000000E+06,-.158324837685E-06,-.115495297992E+01,-.745058059692E-07,.988006171657E+00,.296062500000E+03,.910610334141E+00,-.804962101331E-08,.145006040084E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.125728547573E-07,.630000000000E+02,.345606000000E+06,.000000000000E+00
24,2017-11-09 02:00:00,-.419854186475E-04,-.454747350886E-12,.000000000000E+00,.270000000000E+02,.670625000000E+02,.475591238856E-08,-.295949401364E+01,.335834920406E-05,.622662901878E-02,.105611979961E-04,.515367464066E+04,.352800000000E+06,-.670552253723E-07,-.229977873682E+01,-.137835741043E-06,.943784788448E+00,.167968750000E+03,.475790910715E+00,-.800533345427E-08,-.301083969927E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.270000000000E+02,.345606000000E+06,.000000000000E+00
17,2017-11-09 02:00:00,-.145811587572E-03,.250111042988E-11,.000000000000E+00,.200000000000E+02,-.710000000000E+02,.430982237854E-08,-.107038782563E+01,-.353902578354E-05,.121090753237E-01,.431388616562E-05,.515370791054E+04,.352800000000E+06,-.614672899246E-07,-.119839342235E+00,.229105353355E-06,.981619676971E+00,.308375000000E+03,-.183343958914E+01,-.825891544555E-08,-.206437170365E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.200000000000E+02,.345606000000E+06,.000000000000E+00
28,2017-11-09 02:00:00,.660978723317E-03,.329691829393E-11,.000000000000E+00,.860000000000E+02,.661250000000E+02,.418910306439E-08,-.151204836894E+00,.355020165443E-05,.199938492151E-01,.470690429211E-05,.515366169548E+04,.352800000000E+06,-.275671482086E-06,-.113164904749E+01,.689178705215E-07,.987297836964E+00,.307250000000E+03,-.155463633389E+01,-.840820737844E-08,.100004165575E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.100000000000E+01,.000000000000E+00,-.111758708954E-07,.860000000000E+02,.345606000000E+06,.000000000000E+00
06,2017-11-09 02:00:00,.408924184740E-03,.181898940355E-11,.000000000000E+00,.710000000000E+02,-.852500000000E+02,.411017120513E-08,-.300333467388E+01,-.436604022980E-05,.613620155491E-03,.100415199995E-04,.515378402901E+04,.352800000000E+06,.186264514923E-08,.875427047542E+00,-.670552253723E-07,.968780862137E+00,.192156250000E+03,-.123788529967E+01,-.777675250439E-08,.832177520677E-10,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.710000000000E+02,.345606000000E+06,.000000000000E+00
02,2017-11-09 02:00:00,.285654794425E-03,-.966338120634E-11,.000000000000E+00,.600000000000E+02,-.105031250000E+03,.435982446133E-08,-.283363654680E+01,-.532343983650E-05,.172386894701E-01,.104382634163E-04,.515362705421E+04,.352800000000E+06,.197440385818E-06,.826871500346E+00,-.102445483208E-06,.948060606873E+00,.165531250000E+03,-.194099437231E+01,-.772853621027E-08,.158935191717E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.600000000000E+02,.345606000000E+06,.000000000000E+00
05,2017-11-09 02:00:00,-.233342871070E-04,.125055521494E-11,.000000000000E+00,.330000000000E+02,.540625000000E+01,.496699260946E-08,-.318191000584E+00,.420957803726E-06,.528492860030E-02,.855512917042E-05,.515358141708E+04,.352800000000E+06,.484287738800E-07,.190760186860E+01,.875443220139E-07,.946880074407E+00,.205687500000E+03,.621482818363E+00,-.827177312398E-08,.474305471012E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.330000000000E+02,.345606000000E+06,.000000000000E+00
13,2017-11-09 02:00:00,-.937292352319E-04,-.454747350886E-12,.000000000000E+00,.670000000000E+02,.531250000000E+01,.457019036677E-08,-.259049498456E+01,.197440385818E-06,.358673895244E-02,.775232911110E-05,.515365200424E+04,.352800000000E+06,.409781932831E-07,.309037777148E+01,.260770320892E-07,.969382557417E+00,.232375000000E+03,.169001756566E+01,-.788675708652E-08,-.274654297597E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.670000000000E+02,.345606000000E+06,.000000000000E+00
19,2017-11-09 02:00:00,-.476664397866E-03,.216004991671E-11,.000000000000E+00,.740000000000E+02,-.838125000000E+02,.422481883781E-08,.191281153786E+01,-.467337667942E-05,.985391170252E-02,.446103513241E-05,.515368477631E+04,.352800000000E+06,-.109896063805E-06,-.724251710391E-01,-.242143869400E-06,.978999665300E+00,.307093750000E+03,.108987501650E+01,-.809105131048E-08,-.230366738556E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.740000000000E+02,.345606000000E+06,.000000000000E+00
20,2017-11-09 02:00:00,.492205843329E-03,.113686837722E-11,.000000000000E+00,.620000000000E+02,.384375000000E+01,.529843498680E-08,-.209233484658E+01,.396743416786E-06,.465152668767E-02,.870786607265E-05,.515375057220E+04,.352800000000E+06,.596046447754E-07,.182386429584E+01,.968575477600E-07,.927139334960E+00,.187906250000E+03,.170735752780E+01,-.830391732006E-08,.514664294977E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.620000000000E+02,.347766000000E+06,.000000000000E+00
25,2017-11-09 02:00:00,-.486442353576E-03,-.625277607469E-11,.000000000000E+00,.240000000000E+02,.944687500000E+02,.433196615806E-08,.135019854866E+01,.487081706524E-05,.665258395020E-02,.534206628799E-05,.515373482132E+04,.352800000000E+06,-.800937414169E-07,-.121228388803E+01,.100582838058E-06,.975782222755E+00,.283187500000E+03,.811221426560E+00,-.826248702289E-08,.110361739867E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.558793544769E-08,.240000000000E+02,.349506000000E+06,.000000000000E+00
12,2017-11-09 04:00:00,.365625135601E-03,-.159161572810E-11,.000000000000E+00,.710000000000E+02,.870937500000E+02,.395516474849E-08,.283316097554E+01,.435858964920E-05,.656184658874E-02,.480562448502E-05,.515369650650E+04,.360000000000E+06,.260770320892E-07,-.115501023708E+01,-.912696123123E-07,.988008012008E+00,.299000000000E+03,.910676541425E+00,-.788282835144E-08,.148220459691E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.125728547573E-07,.710000000000E+02,.352806000000E+06,.000000000000E+00
20,2017-11-09 04:00:00,.492214225233E-03,.113686837722E-11,.000000000000E+00,.630000000000E+02,.837500000000E+01,.528021994235E-08,-.104220447330E+01,.547617673874E-06,.465184357017E-02,.911764800549E-05,.515375047684E+04,.360000000000E+06,-.540167093277E-07,.182380401484E+01,.968575477600E-07,.927142556306E+00,.186500000000E+03,.170736710114E+01,-.841356474446E-08,.516092925913E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.630000000000E+02,.352806000000E+06,.000000000000E+00
24,2017-11-09 04:00:00,-.419886782765E-04,-.454747350886E-12,.000000000000E+00,.280000000000E+02,.555625000000E+02,.485555939640E-08,-.190966781760E+01,.265613198280E-05,.622869294602E-02,.953301787376E-05,.515366899109E+04,.360000000000E+06,.931322574615E-07,-.229983736765E+01,-.912696123123E-07,.943782888117E+00,.187156250000E+03,.476148769736E+00,-.807283626603E-08,-.178221709364E-09,.100000000000E+01,.197400000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.280000000000E+02,.352806000000E+06,.000000000000E+00
