prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
13,2017-11-22 02:00:00,-.941739417613E-04,-.341060513165E-12,.000000000000E+00,.157000000000E+03,-.537500000000E+01,.441732685654E-08,-.210839689272E+01,-.242143869400E-06,.362367299385E-02,.816769897938E-05,.515365527725E+04,.266400000000E+06,.502914190292E-07,.284073706986E+01,.242143869400E-07,.969253925957E+00,.225281250000E+03,.167417402242E+01,-.780925385820E-08,-.413231498465E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.157000000000E+03,.259206000000E+06,.000000000000E+00
17,2017-11-22 02:00:00,-.142980832607E-03,.250111042988E-11,.000000000000E+00,.500000000000E+01,-.975937500000E+02,.422124726046E-08,-.612918604806E+00,-.500865280628E-05,.121707461076E-01,.502727925777E-05,.515371686745E+04,.266400000000E+06,-.931322574615E-07,-.369455560461E+00,.150874257088E-06,.981691133205E+00,.296625000000E+03,-.183029785992E+01,-.824927218673E-08,-.264653881039E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.500000000000E+01,.259206000000E+06,.000000000000E+00
20,2017-11-22 02:00:00,.493449158967E-03,.113686837722E-11,.000000000000E+00,.500000000000E+01,.196562500000E+02,.538165273887E-08,-.164863904190E+01,.127963721752E-05,.465087138582E-02,.647082924843E-05,.515375304222E+04,.266400000000E+06,-.204890966415E-07,.157346598844E+01,.614672899246E-07,.927085457151E+00,.235156250000E+03,.172271968176E+01,-.839784980415E-08,.422160441820E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.500000000000E+01,.259206000000E+06,.000000000000E+00
05,2017-11-22 02:00:00,-.220076180995E-04,.113686837722E-11,.000000000000E+00,.820000000000E+02,.106250000000E+02,.502128058506E-08,.149531009915E+00,.670552253723E-06,.527666800190E-02,.636465847492E-05,.515358718491E+04,.266400000000E+06,.447034835815E-07,.165747781299E+01,.726431608200E-07,.946785638656E+00,.248093750000E+03,.628044747648E+00,-.825427239501E-08,.343942898031E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.820000000000E+02,.259206000000E+06,.000000000000E+00
02,2017-11-22 02:00:00,.274768564850E-03,-.977706804406E-11,.000000000000E+00,.300000000000E+01,-.678125000000E+02,.437482508617E-08,-.236629679973E+01,-.343471765518E-05,.173182308208E-01,.995583832264E-05,.515363016510E+04,.266400000000E+06,.203028321266E-06,.576776959110E+00,-.931322574615E-07,.948381432122E+00,.178687500000E+03,-.193747528630E+01,-.756067207520E-08,.344657213499E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.300000000000E+01,.259206000000E+06,.000000000000E+00
06,2017-11-22 02:00:00,.410757027566E-03,.147792889038E-11,.000000000000E+00,.470000000000E+02,-.651562500000E+02,.403873965829E-08,-.249338190499E+01,-.335089862347E-05,.655225827359E-03,.104270875454E-04,.515379378128E+04,.266400000000E+06,.689178705215E-07,.625601921688E+00,-.223517417908E-07,.969094969667E+00,.185500000000E+03,-.129299934561E+01,-.766781939546E-08,.233224000430E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.470000000000E+02,.259206000000E+06,.000000000000E+00
12,2017-11-22 02:00:00,.363770872355E-03,-.170530256582E-11,.000000000000E+00,.118000000000E+03,.556250000000E+02,.407445543171E-08,.224793972705E+01,.271014869213E-05,.660597183742E-02,.290758907795E-05,.515368645477E+04,.266400000000E+06,-.102445483208E-06,-.140474105153E+01,-.122934579849E-06,.987845468643E+00,.335500000000E+03,.908943896362E+00,-.795461705602E-08,.113576159474E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.100000000000E+01,.000000000000E+00,-.125728547573E-07,.118000000000E+03,.259206000000E+06,.000000000000E+00
24,2017-11-22 02:00:00,-.425069592893E-04,-.454747350886E-12,.000000000000E+00,.180000000000E+02,.740000000000E+02,.469805283562E-08,-.249432695007E+01,.368990004063E-05,.632527074777E-02,.100620090961E-04,.515367212296E+04,.266400000000E+06,-.149011611938E-07,-.254999735692E+01,-.104308128357E-06,.943827164796E+00,.177531250000E+03,.476883153149E+00,-.796711757671E-08,-.307155651409E-10,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.180000000000E+02,.259206000000E+06,.000000000000E+00
28,2017-11-22 02:00:00,.664571300149E-03,.329691829393E-11,.000000000000E+00,.530000000000E+02,.499062500000E+02,.428553565262E-08,.309780848393E+00,.263564288616E-05,.200076487381E-01,.301375985146E-05,.515366255569E+04,.266400000000E+06,-.238418579102E-06,-.138144375342E+01,-.111758708954E-06,.987131939128E+00,.339500000000E+03,-.154989963044E+01,-.852035490698E-08,.467876631797E-10,.100000000000E+01,.197600000000E+04,.000000000000E+00,.200000000000E+01,.000000000000E+00,-.111758708954E-07,.530000000000E+02,.259356000000E+06,.000000000000E+00
25,2017-11-22 02:00:00,-.493489205837E-03,-.625277607469E-11,.000000000000E+00,.810000000000E+02,.620625000000E+02,.438018245218E-08,.181380754304E+01,.315532088280E-05,.671442458406E-02,.272691249847E-05,.515372595406E+04,.266400000000E+06,-.227242708206E-06,-.146224269095E+01,.745058059692E-08,.975628572469E+00,.333687500000E+03,.807602307672E+00,-.819426989566E-08,.146791828755E-09,.100000000000E+01,.197600000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.558793544769E-08,.810000000000E+02,.259926000000E+06,.000000000000E+00
