prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
20,2017-11-26 02:00:00,.493827275932E-03,.113686837722E-11,.000000000000E+00,.250000000000E+02,-.273125000000E+02,.510235539073E-08,-.151124660060E+01,-.120699405670E-05,.464799627662E-02,.899098813534E-05,.515376163101E+04,.720000000000E+04,-.316649675369E-07,.145016945333E+01,.800937414169E-07,.927189824652E+00,.187937500000E+03,.172638278474E+01,-.830391732006E-08,.189650756858E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.838190317154E-08,.250000000000E+02,.600000000000E+01,.000000000000E+00
02,2017-11-26 02:00:00,.271393451840E-03,-.977706804406E-11,.000000000000E+00,.220000000000E+02,-.707500000000E+02,.470233872843E-08,-.222326320587E+01,-.358745455742E-05,.173421374056E-01,.531226396561E-05,.515362917519E+04,.720000000000E+04,.249594449997E-06,.453561788578E+00,-.130385160446E-06,.948404847589E+00,.268656250000E+03,-.193599655846E+01,-.793783064251E-08,.710743891050E-10,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.204890966415E-07,.220000000000E+02,.600000000000E+01,.000000000000E+00
17,2017-11-26 02:00:00,-.142117496580E-03,.250111042988E-11,.000000000000E+00,.270000000000E+02,.101250000000E+02,.430339353933E-08,-.473677788455E+00,.599771738052E-06,.121850873111E-01,.515766441822E-05,.515371743011E+04,.720000000000E+04,-.117346644402E-06,-.492651457048E+00,.875443220139E-07,.981673379231E+00,.294281250000E+03,-.182779741254E+01,-.831820362943E-08,.971469037013E-10,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.111758708954E-07,.270000000000E+02,.600000000000E+01,.000000000000E+00
05,2017-11-26 02:00:00,-.216057524085E-04,.113686837722E-11,.000000000000E+00,.790000000000E+02,-.326562500000E+02,.472769692755E-08,.294557999352E+00,-.157579779625E-05,.527549057733E-02,.914372503757E-05,.515359650993E+04,.720000000000E+04,.242143869400E-07,.153425330612E+01,.111758708954E-06,.946886154295E+00,.195343750000E+03,.628732600025E+00,-.811140930133E-08,.162149611325E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.107102096081E-07,.790000000000E+02,.600000000000E+01,.000000000000E+00
12,2017-11-26 02:00:00,.363185536116E-03,-.170530256582E-11,.000000000000E+00,.111000000000E+03,.406562500000E+02,.379765818771E-08,.239119022045E+01,.197626650333E-05,.660874228925E-02,.782310962677E-05,.515368910980E+04,.720000000000E+04,-.502914190292E-07,-.152788470292E+01,-.128522515297E-06,.987883505976E+00,.240968750000E+03,.908261553334E+00,-.765960476757E-08,-.492877673191E-10,.100000000000E+01,.197700000000E+04,.000000000000E+00,.100000000000E+01,.000000000000E+00,-.125728547573E-07,.111000000000E+03,.600000000000E+01,.000000000000E+00
13,2017-11-26 02:00:00,-.942880287766E-04,-.341060513165E-12,.000000000000E+00,.240000000000E+02,.282500000000E+02,.450197323954E-08,-.196388637335E+01,.153668224812E-05,.363736809231E-02,.716373324394E-05,.515365576363E+04,.720000000000E+04,.186264514923E-07,.271757589417E+01,.484287738800E-07,.969173993576E+00,.244906250000E+03,.167339720561E+01,-.794675958586E-08,.108933108930E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.116415321827E-07,.240000000000E+02,.600000000000E+01,.000000000000E+00
06,2017-11-26 02:00:00,.411254819483E-03,.136424205266E-11,.000000000000E+00,.260000000000E+02,-.696250000000E+02,.438089676765E-08,-.234742210486E+01,-.363774597645E-05,.664390507154E-03,.610575079918E-05,.515379113960E+04,.720000000000E+04,.126659870148E-06,.502472716611E+00,-.558793544769E-08,.969121953191E+00,.268968750000E+03,-.129938379513E+01,-.804783522464E-08,-.992898501065E-10,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.465661287308E-08,.260000000000E+02,.600000000000E+01,.000000000000E+00
19,2017-11-26 02:00:00,-.473524443805E-03,.216004991671E-11,.000000000000E+00,.270000000000E+02,.718750000000E+00,.421517557898E-08,.251208548818E+01,-.191852450371E-06,.981171231251E-02,.465847551823E-05,.515368700027E+04,.720000000000E+04,-.372529029846E-08,-.445266212131E+00,-.135973095894E-06,.979075851148E+00,.297031250000E+03,.109661060148E+01,-.793104464556E-08,.928610108910E-11,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,-.153668224812E-07,.270000000000E+02,.600000000000E+01,.000000000000E+00
25,2017-11-26 02:00:00,-.495651271194E-03,-.625277607469E-11,.000000000000E+00,.960000000000E+02,.400625000000E+02,.410802825872E-08,.195687152170E+01,.203214585781E-05,.672291219234E-02,.754743814468E-05,.515372792625E+04,.720000000000E+04,-.182539224625E-06,-.158542789068E+01,-.651925802231E-07,.975663660559E+00,.241531250000E+03,.806089678174E+00,-.788854287519E-08,-.410731394325E-10,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.558793544769E-08,.960000000000E+02,.600000000000E+01,.000000000000E+00
24,2017-11-26 02:00:00,-.426764599979E-04,-.454747350886E-12,.000000000000E+00,.780000000000E+02,.117500000000E+02,.505449625434E-08,-.235377392546E+01,.445172190666E-06,.635405618232E-02,.721774995327E-05,.515366585922E+04,.720000000000E+04,.279396772385E-07,-.267322022386E+01,-.152736902237E-06,.943734199277E+00,.232156250000E+03,.479741652651E+00,-.826462996930E-08,-.149649090628E-09,.100000000000E+01,.197700000000E+04,.000000000000E+00,.000000000000E+00,.000000000000E+00,.279396772385E-08,.780000000000E+02,.600000000000E+01,.000000000000E+00
