,ds,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
0,2017-11-01 16:00:00,-4.8161001840859234e-05,5.233975485025214e-12,0.0,61.02085430927517,-74.80393125103129,4.63558782052582e-09,2.752759434593365,-3.92679376803937e-06,0.001087832895458228,9.816714476124254e-06,5153.622932055523,306347.68399983045,-7.676570306026451e-09,2.050322175380657,-2.053172206257967e-08,0.960070770833815,187.6513879034229,0.5708872032374702,-8.106671580789818e-09,-6.913622647857981e-10,1.0,1973.0012631049083,0.0,-0.030193897063985023,0.0,2.3283064365400003e-09,66.19481534699574,299204.6141638159,0.0
1,2017-11-01 18:00:00,-4.812340183896767e-05,5.229782288132148e-12,0.0,69.5654315835277,-74.2401330410698,4.675085467748784e-09,-2.4800197153377366,-3.852229166469981e-06,0.0010869391844439379,9.84192752844865e-06,5153.636904658657,329339.3443779097,6.728265373180123e-08,2.0535185513916456,-5.6952432150339777e-08,0.9600677120019439,187.54259751248847,0.5707401144047505,-8.161061887944889e-09,-6.203492604720932e-10,1.0,1973.0000391759556,0.0,0.024964862043442136,0.0,2.3283064365400003e-09,72.45744585836248,317929.47822354076,0.0
2,2017-11-01 20:00:00,-4.80854940786355e-05,5.225587462130128e-12,0.0,70.7177286067891,-71.12259660699765,4.728026120041745e-09,-1.432008675515682,-3.699426469151208e-06,0.0010877671110713554,9.10059756695533e-06,5153.626083424875,356209.48552701366,2.328418970139498e-08,2.0571380202548886,2.3503279050228172e-08,0.9600649300611592,204.67941795996936,0.5729241876293607,-8.149415133498724e-09,-5.680870789216978e-10,1.0,1972.9982041701558,0.0,-0.036951663110199054,0.0,2.3283064365400003e-09,71.11978321670355,338369.8924178513,0.0
3,2017-11-02 14:00:00,-4.774566562596884e-05,5.229426775428334e-12,0.0,50.14980003333821,-72.61806248769275,4.7830537680611565e-09,1.7372016476525722,-3.797625681150235e-06,0.0010886319116419697,7.815388398723152e-06,5153.624052046297,379867.22320685216,-2.1971147302256768e-08,2.048824913216886,2.193154800615752e-08,0.9600281811160352,227.3989132437609,0.5724382587365019,-8.23670475620728e-09,-6.187812230415132e-10,1.0,1973.0034260767789,0.0,0.01228697196367226,0.0,2.3283064365400003e-09,33.94506220014343,366663.74557226093,0.0
4,2017-11-02 16:00:00,-4.7707915277781764e-05,5.2240149171184705e-12,0.0,55.724200797022185,-71.74167912218437,4.806809295509634e-09,2.787973873703657,-3.7664406801394418e-06,0.0010892861772447708,8.151034671017205e-06,5153.62457358638,407333.75893168355,-1.4194558094317142e-08,2.0527329148847926,-1.8238532102734838e-08,0.9600240156704618,220.14309810018372,0.5718071270539448,-8.213756465736214e-09,-5.896754430470113e-10,1.0,1972.9987308457526,0.0,-0.03259198077345991,0.0,2.3283064365400003e-09,43.02763811468022,384231.8156428215,0.0
5,2017-11-02 18:00:00,-4.767015859661282e-05,5.219821712818331e-12,0.0,65.97891742508854,-70.59856311611738,4.846306941241305e-09,-2.4448373220287567,-3.662329087214239e-06,0.0010888227137346611,8.221464236296308e-06,5153.624645042648,430325.41913293255,6.076466597890584e-08,2.0559292916637117,-5.465924222887697e-08,0.9600192235178302,219.11287943016052,0.5717092126856649,-8.266121077777675e-09,-5.186624386782703e-10,1.0,1972.9993166762442,0.0,0.022566778342104764,0.0,2.3283064365400003e-09,62.222906682778635,402956.6798711206,0.0
6,2017-11-02 20:00:00,-4.7632059885520466e-05,5.2156268807954195e-12,0.0,68.84135378166464,-66.832622178725,4.899636338836885e-09,-1.3961117602745832,-3.4799793605040407e-06,0.0010892539272441956,7.782545095439546e-06,5153.623395662372,457195.55969286273,1.676620199318704e-08,2.0595487582609713,2.5796468894467922e-08,0.9600155615001363,229.9413671182386,0.5731496877594116,-8.249731477607063e-09,-4.664002571470685e-10,1.0,1972.999818903613,0.0,-0.03934974675564824,0.0,2.3283064365400003e-09,73.81332084954104,423397.09424243914,0.0
7,2017-11-02 22:00:00,-4.7594309988121806e-05,5.250570786378268e-12,0.0,76.39892196605821,-69.30256632306157,4.834648562423625e-09,-0.34515901851913555,-3.5420585079273904e-06,0.0010901379860148385,7.452572592623632e-06,5153.624647164464,473688.8263165569,3.153492191333495e-09,2.0615271705257596,1.090287953697112e-08,0.9600121061844558,238.49310739671503,0.5724752944309918,-8.2358375351497e-09,-5.036708054002447e-10,1.0,1973.000862112753,0.0,0.047552337557617674,0.0,2.3283064365400003e-09,86.91867436271176,431216.26418280654,0.0
8,2017-11-03 00:00:00,-4.7556599849281646e-05,5.247579129492603e-12,0.0,78.71608224028544,-68.45652941702484,4.783764834799755e-09,0.7052842867112558,-3.7296222821633338e-06,0.00108983171959967,7.271540578452496e-06,5153.62332034548,296284.7950282837,1.1674381242380367e-08,2.0246321045876936,-1.2271036281179626e-09,0.9600084356829053,241.60120391588472,0.5722352010620126,-8.248427113375743e-09,-5.260886121968184e-10,1.0,1972.996697679721,0.0,0.2856939846169609,0.0,2.3283064365400003e-09,91.28533457688029,451792.9345664862,0.0
9,2017-11-03 14:00:00,-4.729161948481527e-05,5.224067554147406e-12,0.0,63.66468232773598,-59.4270214067152,4.958162719618097e-09,1.775233706613787,-3.1147813299701858e-06,0.0010902342550098464,6.1708379318866156e-06,5153.620211337155,478575.2086616192,-2.848913575052682e-08,2.0504202760382273,2.4139511102527233e-08,0.9599775729118223,259.1445300880788,0.5705759739855871,-8.32670639381407e-09,-5.170943993810741e-10,1.0,1973.0044091566708,0.0,0.009887086971776347,0.0,2.3283064365400003e-09,71.82451789423997,454161.146754081,0.0
