,prn,sqrt_semi_major_axis,essentricity,inclination,OMEGA,omega,mean_anomaly
0,2,2.6559749402818564,0.017210317878970226,36.3017957288921,54.475313480238384,248.7119171624487,187.3184702929069
1,2,2.655975203139209,0.017210239938925946,36.3017957288921,54.471923084348795,248.71175748546372,247.49662669465403
2,2,2.655974068278852,0.017209878734975845,36.3017957288921,54.468554817106806,248.71621278385848,307.6591593008094
3,2,2.655975957012489,0.017208941060533795,36.3017957288921,54.44027421730018,248.72740998450493,68.90631082654069
4,2,2.6559757885280093,0.01720873485522513,36.3017957288921,54.43676573420926,248.72705815586644,129.21327919127287
5,25,2.6557926554437628,0.0066481988415047644,36.3017957288921,297.64869564969734,46.49481296074531,67.48900479359436
6,25,2.6556910994199705,0.006647889289624921,36.3017957288921,297.6452185080112,46.49974362740239,127.80404851864608
7,25,2.655628252500052,0.006648395571519272,36.3017957288921,297.6418592007544,46.50453297228055,188.1210306811122
8,25,2.655623616759006,0.006650069702180545,36.3017957288921,297.6384803602566,46.514929774570035,248.2781581085032
9,25,2.6556253809809505,0.0066501890652737004,36.3017957288921,297.6351305777758,46.51038933513237,308.45190878728556
10,25,2.655626802665131,0.006650474645518796,36.3017957288921,297.63165550257315,46.51047839993511,8.62110902699412
11,25,2.6556270258320986,0.006650924759048769,36.3017957288921,297.62819414649437,46.51137494999559,68.65521548077376
12,20,2.656088892328982,0.004642211860332208,36.3017957288921,111.61423530903105,97.81127087506744,229.8606505017772
13,20,2.656080630671033,0.004642326594244096,36.3017957288921,111.61026259208532,97.79723694137559,290.05051318397113
14,20,2.656075298424126,0.0046412399925478045,36.3017957288921,111.60662084601279,97.8040499713803,350.21295044565585
15,20,2.6560736217841314,0.004640529189769925,36.3017957288921,111.60305122764584,97.80420064447242,50.380897608283796
16,20,2.656071177965052,0.0046405639913462,36.3017957288921,111.5994504698754,97.8041138019322,110.54970226374212
17,28,2.6559883762547725,0.019986811692331432,36.3017957288921,302.2651620164862,270.8369517488741,340.9551970619636
18,28,2.6555118264443824,0.01999505050269535,36.3017957288921,302.23827087637653,270.86272941014954,102.3457329142572
19,28,2.6555077616343032,0.01999562331684353,36.3017957288921,302.2350920949109,270.859224671128,162.5216022560884
20,28,2.655505369929975,0.019995796624826014,36.3017957288921,302.23185287438247,270.86095633707816,222.6867534950922
21,28,2.6555060233879217,0.01999690150995749,36.3017957288921,302.2286395661734,270.8648407732706,282.8593424929457
22,30,2.6559062922685865,0.003033962131493353,36.3017957288921,240.65599960709173,184.98729798445336,127.23727769048928
23,30,2.6548256226288225,0.0030351742368695768,36.3017957288921,240.66421071705514,184.95958029175017,250.58356695467478
24,30,2.6548218598576914,0.003035156178619879,36.3017957288921,240.66060437348455,184.97039554471615,310.7461540795537
25,30,2.654829599663709,0.003035668731922196,36.3017957288921,240.65710170690895,184.96303333547374,10.926916466791637
26,30,2.6548299976881187,0.0030356647904926683,36.3017957288921,240.65333557342188,184.96775194233413,71.14867657469718
27,6,2.6561331139898514,0.0005985810058433508,36.3017957288921,57.25168152649506,289.36662283098707,177.60258319554407
28,6,2.6561361215108286,0.0005991470581903156,36.3017957288921,57.24838459916339,289.40932380695295,237.7270197822284
29,6,2.656134455541898,0.000599230705297408,36.3017957288921,57.21770974136635,289.6179649439895,59.026958311171065
30,6,2.6561344336882606,0.0005992486217146184,36.3017957288921,57.214351313032715,289.64575253485935,119.1670100524229
31,17,2.655999713328304,0.012069551708285137,36.3017957288921,0.22685313089956938,254.81734570834027,288.6457540958902
32,17,2.6558165545906127,0.01206880023749986,36.3017957288921,0.22360185912036523,254.82859934720818,348.8047632723854
33,17,2.6558489857058114,0.012077451244612262,36.3017957288921,0.1984248063599376,254.8372346833097,110.74596739161265
34,17,2.6558312831893023,0.012076657277661357,36.3017957288921,0.19543923148355613,254.8397713424196,170.85666349635832
35,17,2.655818334739887,0.012080521379491551,36.3017957288921,0.19244525560042175,254.84699255683455,230.4756135753722
36,24,2.656044710649411,0.006181850866391922,36.3017957288921,235.33748327501382,27.11473576292552,180.3284679460103
37,24,2.6560601542962234,0.006181990786008053,36.3017957288921,235.33765578708574,27.110244073532183,240.4604680538278
38,24,2.656063757749174,0.006181788264027988,36.3017957288921,235.33408843659436,27.107044554510896,300.63624999567554
39,24,2.6560677344791284,0.006181365449015317,36.3017957288921,235.33027683705419,27.11168757846344,0.8031416318459241
40,24,2.6561008495064637,0.006183500873950417,36.3017957288921,235.32597863742518,27.119624701888124,60.466940183716964
41,24,2.656066124569839,0.006185326219303578,36.3017957288921,235.30177570519567,27.11267649293048,122.17100225816648
42,19,2.6560748288406835,0.00986915717464525,36.3017957288921,2.9434472904629647,62.361495567707756,99.46614603670133
43,19,2.65607615067092,0.009870209968280084,36.3017957288921,2.9403503346350264,62.35282786912972,159.6435615796447
44,19,2.6560808785314665,0.009866292548099334,36.3017957288921,2.915310474602777,62.35553363482711,281.00234510931705
45,19,2.656081385178674,0.009866854427831185,36.3017957288921,2.9121532956160903,62.35312735238801,341.1745057499359
46,19,2.656075117602581,0.009864243030173891,36.3017957288921,2.9090579041409788,62.3490574232399,41.34558657288214
47,13,2.655985131349935,0.0035850333238386404,36.3017957288921,184.15871265373184,97.18650858878455,201.31512540121994
48,13,2.6558917102086204,0.0035843612996708774,36.3017957288921,184.15832813933937,97.1715088120511,261.4950536864385
49,13,2.655838357075318,0.003584929224939649,36.3017957288921,184.15665504189082,97.18500272404825,321.6419771840825
50,13,2.6558369446504893,0.0035881392135637814,36.3017957288921,184.15360897801065,97.1718735814426,21.825193756778223
