,prn,epoch_time,sv_clock_bias,sv_clock_drift,sv_clock_drift_rate,iode,correction_radius_sine,mean_motion,mean_anomaly,correction_latitude_cosine,essentricity,correction_latitude_sine,sqrt_semi_major_axis,time_of_ephemeris,correction_inclination_cosine,OMEGA,correction_inclination_sine,inclination,correction_radius_cosine,omega,OMEGA_dot,inclination_rate,codes,gps_week,l2_p_data_flag,sv_accuracy,sv_health,tgd,iodc,t_tx,fit_interval
0,2,2017-11-01 02:00:00,0.00029227733927836237,-9.54969436862e-12,0.0,61.43723993507407,7.795175305466082,5.023232881693983e-09,-3.1212694496142324,4.664254130853381e-07,0.017214035915147495,3.1710338120731668e-06,5153.611721459916,253774.421569884,1.8784436725691878e-07,0.953948928502922,-1.599036696453233e-07,0.9477414290634313,307.1888739538022,-1.943625046436453,-8.23761544811176e-09,2.1122965244160486e-10,1.0,1972.9963415462087,0.0,0.0,0.0,-2.04890966415e-08,62.208368336069064,241371.47675520068,0.0
1,2,2017-11-01 04:00:00,0.00029220900287316425,-9.54969436862e-12,0.0,60.113240864717405,10.672396757334162,5.107179183896568e-09,-2.0710450246878973,6.252282012769146e-07,0.017215185823625054,3.0501598261743514e-06,5153.606249890102,269888.15127719427,3.1537482691561925e-07,0.9558112086738102,-6.213533887361204e-08,0.9477399146201122,312.64982286798937,-1.9435713103666308,-8.296749433487943e-09,2.1267369002483442e-10,1.0,1973.0027994947966,0.0,0.0,0.0,-2.04890966415e-08,60.85460443780053,254852.7368908277,0.0
2,2,2017-11-01 06:00:00,0.00029214013970459986,-9.54969436862e-12,0.0,59.78573343150637,15.050657550021445,5.383889105945739e-09,-1.0209266830538068,1.0239983600079338e-06,0.01721518386727414,3.5260709689189043e-06,5153.602821813341,289001.07101378206,-3.6341127090081694e-08,0.9574849582947136,3.694780124437077e-07,0.9477404374724747,308.24982812576894,-1.943468389951924,-8.841102849867444e-09,8.646917241591254e-11,1.0,1973.0018256561402,0.0,0.0,0.0,-2.04890966415e-08,60.42736422417707,273549.197482916,0.0
3,2,2017-11-01 08:00:00,0.0002920711344886329,-9.54969436862e-12,0.0,63.912188251659074,17.332476454514453,5.48215470464988e-09,0.029267421398756266,9.84222662017257e-07,0.017214985079776833,3.753203409656319e-06,5153.6033865940335,286238.1172668514,-2.009552802867394e-07,0.9535281294209526,1.9937686210753563e-07,0.9477401242883471,303.77471118025943,-1.943449081931131,-9.020872102961916e-09,8.119605605618045e-11,1.0,1972.9999840241937,0.0,0.0,0.0,-2.04890966415e-08,64.03808956756193,279325.23544569523,0.0
4,2,2017-11-01 21:59:44,0.00029158930252983514,-9.54969436862e-12,0.0,17.73601159640263,24.030920706644586,5.311179187562999e-09,1.0951302349932064,1.1951387420818847e-06,0.017215478388909126,4.288860984106929e-06,5153.607057180161,443743.96884116274,-3.22948384380308e-07,0.9744383298077223,-3.558715507650536e-08,0.947751823210012,291.3701742059768,-1.9431357484736984,-8.891566479558222e-09,2.850912710036795e-10,1.0,1973.0011300196848,0.0,0.0,0.0,-2.04890966415e-08,17.820752056795435,422532.71088514867,0.0
5,2,2017-11-02 00:00:00,0.0002915201921080737,-9.54969436862e-12,0.0,16.55622616970334,30.07276916285619,5.087837900925433e-09,2.147327714331213,1.3757225626976552e-06,0.017215362251020622,3.981584491430426e-06,5153.605394684381,342600.2003552525,1.4856022571595862e-07,0.9527469365035147,-3.349741059929423e-07,0.947756259503332,291.52806237108575,-1.9430908142029955,-8.34404528855232e-09,3.821169099759949e-10,1.0,1972.9889171381815,0.0,0.0,0.0,-2.04890966415e-08,16.629932285500825,434853.48379209265,0.0
6,2,2017-11-02 02:00:00,0.00029145142533634695,-9.54969436862e-12,0.0,24.212886624474127,37.206793658335485,5.046528016567544e-09,-3.0852841857886038,1.955658392105143e-06,0.017214434935681183,3.7896878872842415e-06,5153.607122656374,325153.56355959293,1.7906848146650747e-07,0.947851958096765,-1.512017262160185e-07,0.9477591428586936,296.0756840675532,-1.943059796454583,-8.235353482591852e-09,3.4908973196466213e-10,1.0,1973.0116372291252,0.0,0.0,0.0,-2.04890966415e-08,23.53826436141319,309806.694538066,0.0
7,2,2017-11-02 04:00:00,0.0002913824219578135,-9.54969436862e-12,0.0,23.925643713429675,39.7555921703021,5.124150372108646e-09,-2.0352254309997013,2.1119078370407707e-06,0.01721483631411926,3.7359487504014527e-06,5153.607035747475,341267.2932430729,3.070033321445823e-07,0.9497142382487404,-5.343337799251917e-08,0.9477627050024968,299.90949631906796,-1.943033550615922,-8.28623490671427e-09,3.5053376942048375e-10,1.0,1972.9983422761431,0.0,0.0,0.0,-2.04890966415e-08,23.323034914827424,323287.9541863894,0.0
8,2,2017-11-02 06:00:00,0.00029131343167658355,-9.54969436862e-12,0.0,26.264522016367508,43.805429888820555,5.394536342410256e-09,-0.9851553929822191,2.507812978154792e-06,0.017214710882248612,4.2789947438791305e-06,5153.605424241003,360380.21274009347,-4.415641317396855e-08,0.9513879876383556,3.7817999136797603e-07,0.9477620190874877,293.882364684647,-1.9429306810701001,-8.822338221874859e-09,2.2432925174152518e-10,1.0,1972.9993159869427,0.0,0.0,0.0,-2.04890966415e-08,25.683909680043946,341984.4140266276,0.0
9,2,2017-11-02 21:59:44,0.00029076412090548766,-9.54969436862e-12,0.0,19.38531945497488,48.23457606249995,5.2712454860006086e-09,1.131043039448226,2.4602575537892166e-06,0.017213869937768262,5.5787140653637855e-06,5153.608881805451,515123.1081440575,-3.2610875373403375e-07,0.9683413564802069,-2.688494021320127e-08,0.9477846859626087,266.6825113415071,-1.9426626395682893,-8.80927443069014e-09,4.2295134823766434e-10,1.0,1973.0006086454869,0.0,0.0,0.0,-2.04890966415e-08,18.552574849994773,490967.92524480185,0.0
10,2,2017-11-03 00:00:00,0.00029069496786970943,-9.54969436862e-12,0.0,22.612842616345727,53.092575530183026,5.041514098011419e-09,2.1832137052512373,2.5769374032633706e-06,0.017213689884686367,5.33684959887297e-06,5153.605905461348,413978.66661794146,1.458566850036206e-07,0.946649962489536,-3.2626991525299427e-07,0.9477905736703675,265.54724679719004,-1.9426345293786622,-8.255668637789129e-09,5.199252031135457e-10,1.0,1972.9886345734824,0.0,0.0,0.0,-2.04890966415e-08,21.807253841700202,503288.69756065484,0.0
11,2,2017-11-03 02:00:00,0.0002906262204610126,-9.54969436862e-12,0.0,34.666995439046985,58.64162131759535,4.992856665869927e-09,-3.049406352515164,3.0733938258075913e-06,0.017212904244392695,5.214052192681668e-06,5153.607532474157,396530.9235992359,1.7665566960315933e-07,0.9417496549140657,-1.4249540575968862e-07,0.9477945150714485,268.6993745731196,-1.942608602641703,-8.141530766627506e-09,4.868392265184962e-10,1.0,1973.012710971698,0.0,0.0,0.0,-2.04890966415e-08,33.15121897414123,378241.90770180745,0.0
12,2,2017-11-03 04:00:00,0.0002905573075985139,-9.54969436862e-12,0.0,37.74053281391511,59.589501432462555,5.06313135864688e-09,-1.9992820280850077,3.136839900508122e-06,0.017212815257190782,5.229446153048624e-06,5153.6075062284535,412642.8901026465,3.047681554904199e-07,0.943606090223563,-4.471897946433848e-08,0.9477988624322551,271.12989123283023,-1.9426121418490712,-8.18696612636613e-09,4.882244508007866e-10,1.0,1972.9993483012452,0.0,0.0,0.0,-2.04890966415e-08,36.23309688655374,391723.166838879,0.0
13,2,2017-11-03 06:00:00,0.00029048825916475784,-9.54969436862e-12,0.0,42.53340986178997,62.03842067895401,5.326169671686155e-09,-0.9491650507805902,3.440253288188085e-06,0.01721246556281737,5.841625248428207e-06,5153.6057842484815,431572.3206248196,-4.636577229763692e-08,0.9451796193926163,3.8690327326229303e-07,0.9477992342204433,263.6994639985492,-1.9425347783244165,-8.717620916590167e-09,3.619548794252193e-10,1.0,1972.9986651803267,0.0,0.0,0.0,-2.04890966415e-08,40.63068445191169,410419.62632858596,0.0
14,2,2017-11-03 21:59:44,0.0002899363165507266,-9.54969436862e-12,0.0,44.41805001680194,55.587898742621704,5.144117270520638e-09,1.1670713870796827,2.8487456167016806e-06,0.017211544643402917,7.58126354301831e-06,5153.60932720833,584846.2206152693,-3.2831811391221145e-07,0.9597700409447927,-1.8088707104107112e-08,0.9478330669977871,227.78339169843787,-1.94233676988819,-8.658525984554992e-09,5.593537732415864e-10,1.0,1973.0011351391324,0.0,0.0,0.0,-2.04890966415e-08,45.224736747547325,559397.7152838603,0.0
15,2,2017-11-04 00:00:00,0.00028986706559000296,-9.54969436862e-12,0.0,48.743792957585896,59.26937101885467,4.910924073394713e-09,2.2192881385041057,2.897434873990323e-06,0.017211327810916555,7.394464882118812e-06,5153.606859423395,478173.1139152298,1.4357218637251828e-07,0.9368724094990862,-3.174615463508097e-07,0.9478401029340912,225.55588381211655,-1.942345371451761,-8.10317080916512e-09,6.553869304762918e-10,1.0,1972.988629573141,0.0,0.0,0.0,-2.04890966415e-08,50.073883012618,567471.6711359298,0.0
16,2,2017-11-04 02:00:00,0.00028979814557963604,-9.54969436862e-12,0.0,61.893730464129916,63.37611931628868,4.859145305308101e-09,-3.013368627457149,3.311413603184717e-06,0.01721075949237743,7.270430261632062e-06,5153.609723754988,448690.8621455185,1.7419457784923789e-07,0.9297664522854358,-1.3367492780772653e-07,0.9478448850284906,229.05778437330238,-1.942322031117641,-7.988925664702204e-09,6.205220084915714e-10,1.0,1973.0119094392503,0.0,0.0,0.0,-2.04890966415e-08,63.00879678033573,433252.8893079103,0.0
17,2,2017-11-04 04:00:00,0.0002897289852643695,-9.54969436862e-12,0.0,66.06304823845022,62.61842300470712,4.924760690657543e-09,-1.9632514296272565,3.286088448416262e-06,0.017210712325456914,7.285763995141399e-06,5153.6104855692865,445586.6106595041,3.0206905633126375e-07,0.928378310656264,-3.5892338789364724e-08,0.9478499138671562,231.78823687751705,-1.9423390016100062,-8.033719017946918e-09,6.19374332196819e-10,1.0,1972.9990280141174,0.0,0.0,0.0,-2.04890966415e-08,67.68162329530341,431871.47504806024,0.0
18,2,2017-11-04 06:00:00,0.0002896598603060009,-9.54969436862e-12,0.0,69.4778975837012,63.36176568825388,5.183131598477594e-09,-0.9130067056141744,3.500730620774841e-06,0.017210244593534367,7.897882864796238e-06,5153.609381109631,439257.44367072004,-4.932171880986244e-08,0.9257163048426592,3.957359862033049e-07,0.9478509467179049,224.65774542812633,-1.9423163910156387,-8.562123838639792e-09,4.899931756366218e-10,1.0,1973.0001912605633,0.0,0.0,0.0,-2.04890966415e-08,71.36815422469074,429698.7598854314,0.0
19,2,2017-11-04 21:59:44,0.0002891070532977827,-9.54969436862e-12,0.0,35.87103040190073,43.2707639281123,4.963750270108845e-09,1.2061727639883253,2.199256113808012e-06,0.017210564567856773,9.750031893941716e-06,5153.613823503559,349433.5392667601,-3.333699594977214e-07,0.9004334861406016,-9.143152543225685e-09,0.9478912505929249,185.94017777306038,-1.9421316239497397,-8.485026560040567e-09,6.601399361020512e-10,1.0,1973.0047442452308,0.0,0.0,0.0,-2.04890966415e-08,36.691586161424716,364915.9968908434,0.0
20,2,2017-11-05 00:00:00,0.000289037873701675,-9.54969436862e-12,0.0,35.03207238504718,43.8059191002754,4.725114969184378e-09,2.2529082059073913,2.0923344481614884e-06,0.017210634107578122,9.556154340008137e-06,5153.610470685735,218086.1330254953,1.382584422480127e-07,0.8734493666471526,-3.0850678221156657e-07,0.9478983756519367,183.75838094469785,-1.9422139207202267,-7.926994455254908e-09,7.535972307951788e-10,1.0,1973.023188351482,0.0,0.0,0.0,-2.04890966415e-08,35.805353704706285,349727.2141130686,0.0
21,2,2017-11-05 02:00:00,0.0002889689984796722,-9.54969436862e-12,0.0,43.02876061594232,45.44546065005058,4.669463756075463e-09,-2.9776571693430873,2.3854022752129466e-06,0.017210143298838926,9.412199777014558e-06,5153.613091522682,170502.8287309175,1.6872113719577064e-07,0.8632733975719267,-1.247111416062831e-07,0.9479036229338044,187.59821260371734,-1.9421686257256567,-7.810185506905437e-09,7.170096205880311e-10,1.0,1973.9674560385117,0.0,0.0,0.0,-2.04890966415e-08,43.01758901603474,197231.86597672323,0.0
